timestamp,scenario,trial,knock_seen,knock_short,knock_valid,knock_deauth,replay_drop,bind_drop,session_timeout_drop,deauth_miss,unknown_user,key_mismatch,grace_key_used,knock_rate_drop,session_limit_drop,map_update_fail,protected_drop,protected_pass
1777996209,baseline_no_xdp,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777996210,baseline_no_xdp,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777996211,baseline_no_xdp,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777996212,baseline_no_xdp,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777996214,baseline_no_xdp,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777996215,baseline_no_xdp,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22306,0
1777996216,baseline_no_xdp,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204807,0
1777996217,baseline_no_xdp,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,430894,0
1777996218,baseline_no_xdp,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,631803,0
1777996219,baseline_no_xdp,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,762797,0
1777996220,baseline_no_xdp,1,27073,0,0,0,0,0,0,0,27073,0,0,0,0,0,762797,0
1777996221,baseline_no_xdp,1,32768,0,0,0,0,0,0,0,32768,0,0,182122,0,0,762797,0
1777996222,baseline_no_xdp,1,32768,0,0,0,0,0,0,0,32768,0,0,376324,0,0,762797,0
1777996223,baseline_no_xdp,1,32768,0,0,0,0,0,0,0,32768,0,0,592690,0,0,762797,0
1777996224,baseline_no_xdp,1,32768,0,0,0,0,0,0,0,32768,0,0,715500,0,0,762797,0
1777996225,baseline_no_xdp,1,32768,0,0,0,0,0,0,0,32768,0,0,715502,0,0,818902,0
1777996226,baseline_no_xdp,1,32768,0,0,0,0,0,0,0,32768,0,0,715502,0,0,1011117,0
1777996228,baseline_no_xdp,1,32768,0,0,0,0,0,0,0,32768,0,0,715502,0,0,1222249,0
1777996229,baseline_no_xdp,1,32768,0,0,0,0,0,0,0,32768,0,0,715502,0,0,1429795,0
1777996230,baseline_no_xdp,1,32768,0,0,0,0,0,0,0,32768,0,0,715502,0,0,1546120,0
1777996231,baseline_no_xdp,1,32896,0,1,0,127,0,0,0,32768,0,0,768902,0,0,1546120,0
1777996232,baseline_no_xdp,1,32896,0,1,0,127,0,0,0,32768,0,0,913706,0,0,1546120,0
1777996233,baseline_no_xdp,1,32896,0,1,0,127,0,0,0,32768,0,0,1068820,0,0,1546120,0
1777996234,baseline_no_xdp,1,32896,0,1,0,127,0,0,0,32768,0,0,1208905,0,0,1546120,0
1777996235,baseline_no_xdp,1,32896,0,1,0,127,0,0,0,32768,0,0,1263517,0,0,1546120,0
1777996236,baseline_no_xdp,1,32896,0,1,0,127,0,0,0,32768,0,0,1317078,0,0,1546120,0
1777996237,baseline_no_xdp,1,32896,0,1,0,127,0,0,0,32768,0,0,1454707,0,0,1546120,0
1777996238,baseline_no_xdp,1,32896,0,1,0,127,0,0,0,32768,0,0,1604228,0,0,1546120,0
1777996239,baseline_no_xdp,1,32896,0,1,0,127,0,0,0,32768,0,0,1729874,0,0,1546120,0
1777996241,baseline_no_xdp,1,32896,0,1,0,127,0,0,0,32768,0,0,1770768,0,0,1546120,0
1777996242,baseline_no_xdp,1,32922,0,27,0,127,0,0,0,32768,0,0,1770768,0,0,1546120,0
1777996243,baseline_no_xdp,1,32960,0,65,0,127,0,0,0,32768,0,0,1770768,0,0,1546120,22685
1777996244,baseline_no_xdp,1,32960,0,65,0,127,0,0,0,32768,0,0,1770768,0,0,1546120,236547
1777996245,baseline_no_xdp,1,32960,0,65,0,127,0,0,0,32768,0,0,1770768,0,0,1546120,449002
1777996246,baseline_no_xdp,1,32960,0,65,0,127,0,0,0,32768,0,0,1770768,0,0,1546120,676396
1777996247,baseline_no_xdp,1,32960,0,65,0,127,0,0,0,32768,0,0,1770768,0,0,1546120,816445
1777996248,baseline_no_xdp,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777996249,baseline_no_xdp,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777996250,baseline_no_xdp,1,26241,0,4096,0,0,0,0,0,0,0,0,0,0,22144,0,0
1777996251,baseline_no_xdp,1,65536,0,4096,0,0,0,0,0,0,0,0,68783,0,61440,0,0
1777996252,baseline_no_xdp,1,65536,0,4096,0,0,0,0,0,0,0,0,220599,0,61440,0,0
1777996253,baseline_no_xdp,1,65536,0,4096,0,0,0,0,0,0,0,0,355692,0,61440,0,0
1777996255,baseline_no_xdp,1,65536,0,4096,0,0,0,0,0,0,0,0,423850,0,61440,0,0
1777996256,baseline_no_xdp,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777996257,baseline_no_xdp,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777996258,baseline_no_xdp,1,41517,0,4096,0,0,0,0,0,0,0,0,0,0,37421,0,0
1777996259,baseline_no_xdp,1,65536,0,4096,0,0,0,0,0,0,0,0,83736,0,61440,0,0
1777996260,baseline_no_xdp,1,65536,0,4096,0,0,0,0,0,0,0,0,206455,0,61440,0,0
1777996261,baseline_no_xdp,1,65536,0,4096,0,0,0,0,0,0,0,0,329469,0,61440,0,0
1777996262,baseline_no_xdp,1,65536,0,4096,0,0,0,0,0,0,0,0,370692,0,61440,0,0
