timestamp,scenario,trial,knock_seen,knock_short,knock_valid,knock_deauth,replay_drop,bind_drop,session_timeout_drop,deauth_miss,unknown_user,key_mismatch,grace_key_used,knock_rate_drop,session_limit_drop,map_update_fail,protected_drop,protected_pass
1777996330,baseline_no_xdp,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777996331,baseline_no_xdp,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777996332,baseline_no_xdp,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777996334,baseline_no_xdp,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777996335,baseline_no_xdp,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777996336,baseline_no_xdp,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24267,0
1777996337,baseline_no_xdp,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,227600,0
1777996338,baseline_no_xdp,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,444533,0
1777996339,baseline_no_xdp,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,653248,0
1777996340,baseline_no_xdp,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,761753,0
1777996341,baseline_no_xdp,1,32768,0,0,0,0,0,0,0,32768,0,0,13637,0,0,761753,0
1777996342,baseline_no_xdp,1,32768,0,0,0,0,0,0,0,32768,0,0,188924,0,0,761753,0
1777996343,baseline_no_xdp,1,32768,0,0,0,0,0,0,0,32768,0,0,400964,0,0,761753,0
1777996344,baseline_no_xdp,1,32768,0,0,0,0,0,0,0,32768,0,0,628955,0,0,761753,0
1777996345,baseline_no_xdp,1,32768,0,0,0,0,0,0,0,32768,0,0,725890,0,0,761753,0
1777996346,baseline_no_xdp,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777996348,baseline_no_xdp,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777996349,baseline_no_xdp,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,64165
1777996350,baseline_no_xdp,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,248593
1777996351,baseline_no_xdp,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,451827
1777996352,baseline_no_xdp,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,650883
1777996353,baseline_no_xdp,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,742182
1777996354,baseline_no_xdp,1,12,0,3,0,9,0,0,0,0,0,0,0,0,0,0,742182
1777996355,baseline_no_xdp,1,31,0,3,0,28,0,0,0,0,0,0,0,0,0,0,742182
1777996356,baseline_no_xdp,1,53,0,3,0,50,0,0,0,0,0,0,0,0,0,0,742182
1777996357,baseline_no_xdp,1,75,0,3,0,72,0,0,0,0,0,0,0,0,0,0,742182
1777996358,baseline_no_xdp,1,82,0,3,0,79,0,0,0,0,0,0,0,0,0,0,742182
1777996359,baseline_no_xdp,1,210,0,130,0,80,0,0,0,0,0,0,79320,0,0,0,742182
1777996360,baseline_no_xdp,1,210,0,130,0,80,0,0,0,0,0,0,191916,0,0,0,742182
1777996362,baseline_no_xdp,1,210,0,130,0,80,0,0,0,0,0,0,331428,0,0,0,742182
1777996363,baseline_no_xdp,1,210,0,130,0,80,0,0,0,0,0,0,474686,0,0,0,742182
1777996364,baseline_no_xdp,1,210,0,130,0,80,0,0,0,0,0,0,518377,0,0,0,742182
1777996365,baseline_no_xdp,1,210,0,130,0,80,0,0,0,0,0,0,518403,0,0,0,742182
1777996366,baseline_no_xdp,1,210,0,130,0,80,0,0,0,0,0,0,518441,0,0,23949,742182
1777996367,baseline_no_xdp,1,210,0,130,0,80,0,0,0,0,0,0,518441,0,0,203711,742182
1777996368,baseline_no_xdp,1,210,0,130,0,80,0,0,0,0,0,0,518441,0,0,429151,742182
1777996369,baseline_no_xdp,1,210,0,130,0,80,0,0,0,0,0,0,518441,0,0,636904,742182
1777996370,baseline_no_xdp,1,210,0,130,0,80,0,0,0,0,0,0,518441,0,0,776088,742182
1777996371,baseline_no_xdp,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777996372,baseline_no_xdp,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777996373,baseline_no_xdp,1,21476,0,4096,0,0,0,0,0,0,0,0,0,0,17380,0,0
1777996374,baseline_no_xdp,1,65536,0,4096,0,0,0,0,0,0,0,0,44216,0,61440,0,0
1777996376,baseline_no_xdp,1,65536,0,4096,0,0,0,0,0,0,0,0,214406,0,61440,0,0
1777996377,baseline_no_xdp,1,65536,0,4096,0,0,0,0,0,0,0,0,362052,0,61440,0,0
1777996378,baseline_no_xdp,1,65536,0,4096,0,0,0,0,0,0,0,0,434346,0,61440,0,0
1777996379,baseline_no_xdp,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777996380,baseline_no_xdp,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777996381,baseline_no_xdp,1,33956,0,4096,0,0,0,0,0,0,0,0,0,0,29860,0,0
1777996382,baseline_no_xdp,1,65536,0,4096,0,0,0,0,0,0,0,0,77536,0,61440,0,0
1777996383,baseline_no_xdp,1,65536,0,4096,0,0,0,0,0,0,0,0,222090,0,61440,0,0
1777996384,baseline_no_xdp,1,65536,0,4096,0,0,0,0,0,0,0,0,371152,0,61440,0,0
1777996385,baseline_no_xdp,1,65536,0,4096,0,0,0,0,0,0,0,0,418993,0,61440,0,0
