scenario,trial,status,sent,errors,elapsed_sec,pps,mbps,frame_len,delta_knock_seen,delta_knock_short,delta_knock_valid,delta_knock_deauth,delta_replay_drop,delta_bind_drop,delta_session_timeout_drop,delta_deauth_miss,delta_unknown_user,delta_key_mismatch,delta_grace_key_used,delta_knock_rate_drop,delta_session_limit_drop,delta_map_update_fail,delta_protected_drop,delta_protected_pass,perf_task_clock_ms,perf_cycles,perf_instructions,perf_context_switches,perf_cpu_migrations
baseline_no_xdp,1,ok,6392078,0,30.000001,213069.262,92.046,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28969.20,72163743692,91237776278,5758,84
baseline_no_xdp,2,ok,6627555,0,30.000004,220918.468,95.437,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28957.69,72486914462,94617261191,5760,85
baseline_no_xdp,3,ok,6700863,0,30.000002,223362.082,96.492,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28954.47,73982251993,95661228328,5789,86
xdp_unprotected_pass,1,ok,5714673,0,30.0,190489.098,82.291,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29065.28,73039390416,89469990579,5657,81
xdp_unprotected_pass,2,ok,5654706,0,30.000001,188490.192,81.428,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29091.97,73750107867,88525750398,5714,82
xdp_unprotected_pass,3,ok,5703693,0,30.000007,190123.055,82.133,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29098.12,73590371909,89256949435,5732,93
protected_unauthorized_drop,1,ok,6124169,0,30.000003,204138.948,88.188,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6124169,0,29021.38,74439014690,86101219374,5792,76
protected_unauthorized_drop,2,ok,6113743,0,30.000001,203791.424,88.038,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6113743,0,29022.44,73652972953,85995593575,5760,78
protected_unauthorized_drop,3,ok,6039308,0,30.000004,201310.238,86.966,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6039308,0,29024.21,74199605624,84878538254,5715,77
knock_invalid_user_or_key,1,ok,5955100,0,30.0,198503.331,161.979,102,98304,0,0,0,0,0,0,0,98304,0,0,5856796,0,0,0,0,29057.22,72662706508,84199834598,5697,87
knock_invalid_user_or_key,2,ok,5835996,0,30.000002,194533.19,158.739,102,98304,0,0,0,0,0,0,0,98304,0,0,5737692,0,0,0,0,29053.38,73229448811,82520766931,5732,86
knock_invalid_user_or_key,3,ok,6001088,0,30.000001,200036.258,163.23,102,98304,0,0,0,0,0,0,0,98304,0,0,5902784,0,0,0,0,29037.37,73269422513,84878740303,5754,82
authorized_protected_pass,1,ok,5844488,0,30.000009,194816.207,84.161,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5844488,29087.58,74713785661,92463266719,5810,81
authorized_protected_pass,2,ok,5815465,0,30.000003,193848.814,83.743,54,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2712312,3103153,29070.68,72530609971,87229771743,5733,98
authorized_protected_pass,3,ok,6164851,0,30.000005,205495.0,88.774,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6164851,0,29024.84,73688069171,86625697441,5738,87
replay_drop,1,ok,600,0,30.000085,20.0,0.016,102,385,0,1,0,384,0,0,0,0,0,0,215,0,0,0,0,8030.38,2904520147,1265107597,197920,4174
replay_drop,2,ok,600,0,30.000081,20.0,0.016,102,385,0,1,0,384,0,0,0,0,0,0,215,0,0,0,0,8112.41,2878656287,1256376780,197774,3962
replay_drop,3,ok,600,0,30.000029,20.0,0.016,102,385,0,1,0,384,0,0,0,0,0,0,215,0,0,0,0,7991.20,2926355384,1268991770,199306,4169
source_rate_limit,1,ok,4114685,0,30.000002,137156.159,111.919,102,384,0,384,0,0,0,0,0,0,0,0,4114301,0,0,0,0,29315.27,73852187935,135483168147,5826,67
source_rate_limit,2,ok,4216612,0,30.000004,140553.715,114.692,102,384,0,384,0,0,0,0,0,0,0,0,4216228,0,0,0,0,29316.47,74243478894,138848865669,5804,75
source_rate_limit,3,ok,4140639,0,30.0,138021.298,112.625,102,384,0,384,0,0,0,0,0,0,0,0,4140255,0,0,0,0,29309.25,74681868505,136351535907,5765,73
active_session_pressure_32,1,ok,5587551,0,30.0,186251.698,80.461,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5587551,29127.75,73051593446,88430363499,5799,97
active_session_pressure_32,2,ok,5982959,0,30.000001,199431.961,86.155,54,0,0,0,0,0,0,32,0,0,0,0,0,0,0,2938111,3044848,29075.39,74097206491,89528967663,5772,81
active_session_pressure_32,3,ok,6187770,0,30.000004,206258.975,89.104,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6187770,0,29022.18,73856451031,87011919115,5817,87
user_scale_128,1,ok,2221809,0,30.000001,74060.299,60.433,102,2085684,0,4096,0,231,0,0,0,0,0,0,136125,0,2081357,0,0,29608.62,75041340691,157422526534,5835,67
user_scale_128,2,ok,2254520,0,30.000009,75150.645,61.323,102,2120667,0,4096,0,576,0,0,0,0,0,0,133853,0,2115995,0,0,29605.30,75543899494,159848659322,5802,65
user_scale_128,3,ok,2219813,0,30.000002,73993.761,60.379,102,2092340,0,4096,0,522,0,0,0,0,0,0,127473,0,2087722,0,0,29603.94,75379447222,157566371523,5835,69
