timestamp,scenario,trial,knock_seen,knock_short,knock_valid,knock_deauth,replay_drop,bind_drop,session_timeout_drop,deauth_miss,unknown_user,key_mismatch,grace_key_used,knock_rate_drop,session_limit_drop,map_update_fail,protected_drop,protected_pass
1777996422,baseline_no_xdp,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777996423,baseline_no_xdp,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777996424,baseline_no_xdp,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777996425,baseline_no_xdp,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777996426,baseline_no_xdp,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777996427,baseline_no_xdp,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24759,0
1777996428,baseline_no_xdp,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,237203,0
1777996429,baseline_no_xdp,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,463271,0
1777996430,baseline_no_xdp,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,677784,0
1777996431,baseline_no_xdp,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,835367,0
1777996432,baseline_no_xdp,1,25301,0,0,0,0,0,0,0,25301,0,0,0,0,0,835367,0
1777996433,baseline_no_xdp,1,32768,0,0,0,0,0,0,0,32768,0,0,169979,0,0,835367,0
1777996435,baseline_no_xdp,1,32768,0,0,0,0,0,0,0,32768,0,0,376918,0,0,835367,0
1777996436,baseline_no_xdp,1,32768,0,0,0,0,0,0,0,32768,0,0,579717,0,0,835367,0
1777996437,baseline_no_xdp,1,32768,0,0,0,0,0,0,0,32768,0,0,699814,0,0,835367,0
1777996438,baseline_no_xdp,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777996439,baseline_no_xdp,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777996440,baseline_no_xdp,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,71647
1777996441,baseline_no_xdp,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,262287
1777996442,baseline_no_xdp,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,467883
1777996443,baseline_no_xdp,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,670940
1777996444,baseline_no_xdp,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,764540
1777996445,baseline_no_xdp,1,12,0,3,0,9,0,0,0,0,0,0,0,0,0,0,764540
1777996446,baseline_no_xdp,1,32,0,3,0,29,0,0,0,0,0,0,0,0,0,0,764540
1777996447,baseline_no_xdp,1,53,0,3,0,50,0,0,0,0,0,0,0,0,0,0,764540
1777996449,baseline_no_xdp,1,75,0,3,0,72,0,0,0,0,0,0,0,0,0,0,764540
1777996450,baseline_no_xdp,1,82,0,3,0,79,0,0,0,0,0,0,0,0,0,0,764540
1777996451,baseline_no_xdp,1,210,0,130,0,80,0,0,0,0,0,0,78467,0,0,0,764540
1777996452,baseline_no_xdp,1,210,0,130,0,80,0,0,0,0,0,0,215535,0,0,0,764540
1777996453,baseline_no_xdp,1,210,0,130,0,80,0,0,0,0,0,0,374706,0,0,0,764540
1777996454,baseline_no_xdp,1,210,0,130,0,80,0,0,0,0,0,0,509091,0,0,0,764540
1777996455,baseline_no_xdp,1,210,0,130,0,80,0,0,0,0,0,0,543809,0,0,0,764540
1777996456,baseline_no_xdp,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777996457,baseline_no_xdp,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777996458,baseline_no_xdp,1,29,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0
1777996459,baseline_no_xdp,1,64,0,64,0,0,0,0,0,0,0,0,0,0,0,0,42000
1777996460,baseline_no_xdp,1,64,0,64,0,0,0,0,0,0,0,0,0,0,0,0,167282
1777996461,baseline_no_xdp,1,64,0,64,0,0,0,0,0,0,0,0,0,0,0,0,362458
1777996463,baseline_no_xdp,1,64,0,64,0,0,0,0,0,0,0,0,0,0,0,0,561944
1777996464,baseline_no_xdp,1,64,0,64,0,0,0,0,0,0,0,0,0,0,0,0,687235
1777996465,baseline_no_xdp,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777996466,baseline_no_xdp,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777996467,baseline_no_xdp,1,30209,0,4096,0,0,0,0,0,0,0,0,0,0,26113,0,0
1777996468,baseline_no_xdp,1,111244,0,8192,0,0,0,0,0,0,0,0,0,0,103051,0,0
1777996469,baseline_no_xdp,1,195621,0,8192,0,64,0,0,0,0,0,0,0,0,187365,0,0
1777996470,baseline_no_xdp,1,278929,0,8192,0,64,0,0,0,0,0,0,0,0,270672,0,0
1777996471,baseline_no_xdp,1,309503,0,8192,0,64,0,0,0,0,0,0,0,0,301247,0,0
1777996472,baseline_no_xdp,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777996473,baseline_no_xdp,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777996474,baseline_no_xdp,1,45455,0,4096,0,0,0,0,0,0,0,0,0,0,41359,0,0
1777996475,baseline_no_xdp,1,116697,0,8192,0,0,0,0,0,0,0,0,0,0,108504,0,0
1777996477,baseline_no_xdp,1,191947,0,8192,0,46,0,0,0,0,0,0,0,0,183709,0,0
1777996478,baseline_no_xdp,1,270562,0,8192,0,46,0,0,0,0,0,0,0,0,262324,0,0
1777996479,baseline_no_xdp,1,286566,0,8192,0,46,0,0,0,0,0,0,0,0,278328,0,0
